property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 104,2.0,2.0,0.0,Moderately Old,16.0,16.0,1258.95,0,0,0,Low,Low Floor,0.9
flat,sector 52,4.0,4.0,3.0,Old Property,3.0,4.0,1639.99,0,0,0,Medium,Low Floor,1.5
flat,sector 67,1.0,1.0,0.0,Moderately Old,0.0,1.0,609.99,0,0,0,Low,Low Floor,0.8
flat,sector 86,3.0,2.0,1.0,New Property,11.0,14.0,1690.04,0,0,0,Medium,Low Floor,1.25
flat,sohna road,2.0,2.0,1.0,Moderately Old,2.0,14.0,627.0,0,0,0,Low,Low Floor,0.26
flat,sohna road,2.0,2.0,1.0,New Property,12.0,12.0,691.0,0,0,0,Medium,Low Floor,0.42
flat,sector 43,3.0,3.0,2.0,New Property,2.0,4.0,1935.03,0,0,0,Low,Low Floor,2.5
flat,sector 78,3.0,3.0,2.0,Moderately Old,1.0,18.0,1949.99,1,0,0,Medium,Low Floor,0.9
flat,sector 92,2.0,2.0,1.0,Moderately Old,4.0,12.0,769.0,0,0,1,Low,Low Floor,0.42
flat,sector 107,2.0,2.0,1.0,Moderately Old,11.0,13.0,546.05,0,0,0,Medium,Low Floor,0.5
flat,sector 79,2.0,2.0,3.0,Moderately Old,5.0,17.0,1529.98,0,0,0,Medium,Low Floor,0.9
flat,sector 89,3.0,3.0,3.0,New Property,1.0,25.0,2485.0,1,0,0,Low,Low Floor,1.3
flat,sector-33 sohna,3.0,3.0,3.0,Under Construction,12.0,16.0,1788.96,0,0,0,Low,Low Floor,1.7
flat,sector 92,4.0,3.0,0.0,Under Construction,16.0,18.0,2039.97,0,0,0,Medium,Low Floor,1.25
flat,sector 82a,4.0,4.0,3.0,Under Construction,6.0,6.0,4350.01,1,1,1,Medium,Low Floor,2.91
flat,sector 12,3.0,4.0,2.0,Old Property,2.0,2.0,2500.02,1,0,1,Low,Low Floor,1.15
flat,sector 89,3.0,3.0,3.0,Under Construction,3.0,4.0,1247.0,0,1,0,High,Low Floor,1.2
flat,sohna road,2.0,2.0,3.0,New Property,11.0,25.0,1594.0,0,0,0,Medium,Low Floor,1.5
flat,sohna road,3.0,3.0,3.0,Moderately Old,10.0,18.0,1750.96,0,0,0,Medium,Low Floor,1.3
flat,sector 104,3.0,3.0,3.0,Under Construction,2.0,25.0,1688.96,0,0,0,Low,Low Floor,1.75
flat,sector 5,2.0,2.0,1.0,Moderately Old,4.0,4.0,911.0,0,0,1,Low,Low Floor,0.55
flat,sector 65,3.0,3.0,3.0,Under Construction,19.0,41.0,1828.03,0,0,0,Medium,Low Floor,2.5
flat,sector 2,3.0,2.0,3.0,Moderately Old,8.0,8.0,1439.99,0,0,0,Low,Low Floor,0.8
flat,sector 108,2.0,2.0,1.0,Moderately Old,10.0,16.0,1467.98,0,0,0,Low,Low Floor,0.7
flat,sector 37d,4.0,3.0,3.0,Under Construction,7.0,20.0,2190.99,0,0,0,Low,Low Floor,1.95
flat,sector 90,2.0,2.0,1.0,New Property,2.0,14.0,815.0,0,0,1,Low,Low Floor,0.45
flat,sector 79,3.0,2.0,3.0,Moderately Old,10.0,10.0,1570.02,0,0,0,Low,Low Floor,1.7
flat,sector 86,2.0,2.0,1.0,Moderately Old,10.0,20.0,677.0,0,0,0,Low,Low Floor,0.5
flat,sector 65,3.0,3.0,3.0,Under Construction,20.0,34.0,1828.03,0,0,0,High,Low Floor,2.8
flat,sector-33 sohna,3.0,2.0,3.0,Under Construction,20.0,22.0,118.0,0,0,0,High,Low Floor,1.45
flat,sector 61,3.0,3.0,2.0,Under Construction,3.0,4.0,2121.0,0,0,0,Low,Low Floor,2.2
flat,sohna road,2.0,2.0,2.0,Moderately Old,13.0,14.0,1274.98,0,0,2,High,Low Floor,0.9
